2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Application starting...
2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Look and feel set successfully.
2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Application started successfully.
2025-02-18 18:53:38 [AWT-EventQueue-0] INFO  com.ontlogieai.Main - Processing file: J270-06 BMS 6th Floor Room control Instrument List J-Building_YOKO_02Dec2024.xlsx
2025-02-18 18:53:38 [AWT-EventQueue-0] INFO  com.ontlogieai.Main - Reading Excel file: J270-06 BMS 6th Floor Room control Instrument List J-Building_YOKO_02Dec2024.xlsx
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: , Point Description: , standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: Device Tag, Point Description: Point Descriptor, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J270-06-2XA-001, Point Description: J270-06-2XA-001 - J270-06-1PNL-001 - 230VAC Thermal Fault Signal, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J270-06-2XA-002, Point Description: J270-06-2XA-002 - J270-06-1PNL-001 - 24VDC Thermal Fault Signal, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J270-06-2XA-004, Point Description: J270-06-2XA-004 - J270-06-1PNL-001 - Surge Voltage Arrester Signal, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J270-06-2XA-005, Point Description: J270-06-2XA-005 - J270-06-1PNL-001 - Common Fire Alarm, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2TT-612, Point Description: J460-01-2TT-612 - Chilled Water - Supply Temperature, standardDeviceTag: J460-01-2TT-612
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2TT-613, Point Description: J460-01-2TT-613 - Chilled Water - Return Temperature, standardDeviceTag: J460-01-2TT-613
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-643, Point Description: J460-01-2FCV-643 - Chilled Water Valve - Controller, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-601, Point Description: J460-01-1PMP-601 - Chilled water Circulation pump - Controller, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-601, Point Description: J460-01-2XA-601 - Chilled water Circulation pump J460-01-1PMP-601 - Alarm, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-601, Point Description: J460-01-2SS-601 - Chilled water Circulation pump J460-01-1PMP-601 - Status, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-601, Point Description: J460-01-2SC-601 - Chilled water Circulation pump J460-01-1PMP-601 - Control Signal, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-601, Point Description: J460-01-2XS-601 - Chilled water Circulation pump J460-01-1PMP-601 - Enable, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-601, Point Description: J460-01-2HSI-601 - Chilled water Circulation pump J460-01-1PMP-601 - Maintanance Switch, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FT-601, Point Description: J460-01-2FT-601 - Chilled Water - Energy Meter, standardDeviceTag: J460-01-2FT-601
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FT-602, Point Description: J460-01-2FT-602 - Hot Water - Energy Meter, standardDeviceTag: J460-01-2FT-602
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FT-604, Point Description: J460-01-2FT-604 - 61LBK3 - Return Air Flow, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2TT-616, Point Description: J460-01-2TT-616 - 61LBK3 - Return Air Temperature, standardDeviceTag: J460-01-2TT-616
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FT-603, Point Description: J460-01-2FT-603 - 61LBK3 - Supply Air Flow, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2TT-614, Point Description: J460-01-2TT-614 - 61LBK3 - Supply Air Temperature, standardDeviceTag: J460-01-2TT-614
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2MT-614, Point Description: J460-01-2MT-614 - 61LBK3 - Supply Air Humidity, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J100-06-2TT-001, Point Description: J100-06-2TT-001 - Potable Water - Temperature, standardDeviceTag: J100-06-2TT-001
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J100-06-2FT-001, Point Description: J100-06-2FT-001 - Potable Water - Flow, standardDeviceTag: J100-06-2FT-001
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J100-06-2TT-002, Point Description: J100-06-2TT-002 - Potable  Hot Water - Inlet Temperature Heater, standardDeviceTag: J100-06-2TT-002
